,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BeeP-25-2013_NODE_1445_length_863_cov_2_932570,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,Aphid lethal paralysis virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1501_length_850_cov_3_455369,unclassified Geminiviridae,Vira,Unclassified,Geminiviridae,Unclassified,Niminivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1764_length_803_cov_2_450413,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,Aphid lethal paralysis virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_184_length_2125_cov_25_089355,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Shahe qinvirus-like virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2035_length_765_cov_6_100291,environmental samples,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae 21 LDMD-2013,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2187_length_748_cov_3_114754,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2259_length_740_cov_5_168929,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Pteropus associated gemycircularvirus 10,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2262_length_740_cov_4_055807,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Circular genetic element sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2268_length_739_cov_4_951662,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,DCV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_227_length_1860_cov_49_109366,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei toti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_232_length_1826_cov_12_868496,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2344_length_733_cov_3_032012,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2387_length_728_cov_5_181260,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Rosellinia necatrix partitivirus 9,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2419_length_725_cov_38_581790,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei toti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_255_length_1767_cov_33_934320,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2648_length_703_cov_3_924920,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Black grass cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_270_length_1712_cov_22_245260,dsRNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2883_length_686_cov_6_160920,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2916_length_684_cov_2_474465,unclassified Gemycircularvirus,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_2941_length_682_cov_4_125620,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_295_length_1632_cov_32_340836,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_3181_length_666_cov_5_042445,unclassified Phycodnaviridae,Vira,Unclassified,Phycodnaviridae,Unclassified,Orpheovirus IHUMI-LCC2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_3246_length_662_cov_7_063248,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_3391_length_654_cov_3_500867,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei partiti-like virus 56,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_347_length_1519_cov_7_506935,CpDNV,Vira,Unclassified,Parvoviridae,Ambidensovirus,Dipteran ambidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_34_length_5444_cov_58_459288,CpDNV,Vira,Unclassified,Parvoviridae,Ambidensovirus,Dipteran ambidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_3747_length_634_cov_6_797127,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4066_length_619_cov_6_435424,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Hermit crab associated circular genome,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4074_length_619_cov_2_976015,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuhan millipede virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4078_length_619_cov_2_477860,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,Scheffersomyces segobiensis virus L,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4098_length_618_cov_2_160813,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Lepus americanus faeces associated genomovirus SHP11,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_40_length_4833_cov_311_648865,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei toti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4188_length_614_cov_5_700186,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Volivirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4384_length_607_cov_2_932075,Wiseana iridescent virus,Vira,Unclassified,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 9,Betairidovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4417_length_605_cov_22_844697,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,McMurdo Ice Shelf pond-associated circular DNA virus-2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4477_length_603_cov_4_134981,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4490_length_602_cov_10_411429,all,Vira,Unclassified,Geminiviridae,Begomovirus,Bean golden yellow mosaic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_4806_length_590_cov_6_886940,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Grapevine cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_504_length_1279_cov_379_538270,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Sewage-associated circular DNA virus-18,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_5156_length_577_cov_3_698000,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Diuris pendunculata cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_520_length_1270_cov_14_176027,CpDNV,Vira,Unclassified,Parvoviridae,Ambidensovirus,Dipteran ambidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_5233_length_574_cov_6_406439,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_5378_length_569_cov_5_207317,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_5588_length_562_cov_7_317526,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Sophora japonica powdery mildew-associated partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_5702_length_559_cov_3_184647,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_5775_length_556_cov_18_855950,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Humpback whale blow-associated circo-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_6102_length_547_cov_5_995745,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Termite associated circular virus 4,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_627_length_1174_cov_2_311759,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,Aphid lethal paralysis virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_6283_length_542_cov_9_004301,all,Vira,Unclassified,Phycodnaviridae,Chlorovirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_6312_length_542_cov_3_122581,CpDNV,Vira,Unclassified,Parvoviridae,Ambidensovirus,Dipteran ambidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_7084_length_523_cov_10_580717,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Red clover cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_7141_length_522_cov_13_449438,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_7243_length_520_cov_6_607223,RNA viruses,Vira,Unclassified,Virgaviridae,Hordeivirus,Lychnis ringspot virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_7383_length_518_cov_2_591837,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Tick associated genomovirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_7496_length_515_cov_6_776256,unclassified Bacilladnavirus,Vira,Unclassified,Bacilladnaviridae,Bacilladnavirus,Bacilladnavirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_800_length_1075_cov_36_804609,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Water beetle associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_8130_length_503_cov_2_776995,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_815_length_1065_cov_10_561741,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Rose partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_872_length_1042_cov_25_221762,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Ambidensovirus sp.,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_90_length_3146_cov_169_292929,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei toti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_913_length_1022_cov_19_953439,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-27-2013_NODE_118_length_695_cov_7_307443,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-27-2013_NODE_15_length_1602_cov_2865_022295,RNA viruses,Vira,Articulavirales,Orthomyxoviridae,Thogoto-like viruses,Unclassified,Unclassified,Negarnaviricota,Polyploviricotina,Insthoviricetes
BeeP-27-2013_NODE_49_length_1018_cov_2541_886291,RNA viruses,Vira,Articulavirales,Orthomyxoviridae,Thogoto-like viruses,Thogoto thogotovirus,Unclassified,Negarnaviricota,Polyploviricotina,Insthoviricetes
BeeP-27-2013_NODE_65_length_901_cov_22_570388,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-27-2013_NODE_99_length_760_cov_18_808199,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-28-2013_NODE_68_length_511_cov_1_868664,49 Fec80061 pig,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Porcine associated gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-29-2013_NODE_33_length_716_cov_8_089202,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Robinvale bee virus 6,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-30-2013_NODE_12_length_996_cov_6_149075,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Bundaberg bee virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-30-2013_NODE_15_length_847_cov_8_837662,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Human blood-associated dicistrovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-30-2013_NODE_18_length_703_cov_2_241214,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Human blood-associated dicistrovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-30-2013_NODE_19_length_677_cov_4_020000,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Bundaberg bee virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-30-2013_NODE_22_length_643_cov_3_072438,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Sewage-associated circular DNA virus-18,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-30-2013_NODE_9_length_1121_cov_4_582375,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Human blood-associated dicistrovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-31-2013_NODE_1_length_4901_cov_88_177653,dsRNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-31-2013_NODE_29_length_752_cov_0_968889,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Panax notoginseng virus A,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-31-2013_NODE_37_length_685_cov_1_902961,all,Vira,Unclassified,Genomoviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-31-2013_NODE_3_length_4064_cov_92_610484,Amasya cherry disease associated partitivirus,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Cherry chlorotic rusty spot associated partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_135_length_1026_cov_2_437302,Dragonfly-associated circular virus 3,Vira,Unclassified,Genomoviridae,Gemyduguivirus,Dragonfly associated gemyduguivirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_295_length_645_cov_44_783451,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei partiti-like virus 34,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_32_length_2325_cov_12_654359,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,Red clover cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_429_length_526_cov_3_710468,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_42_length_2038_cov_23_657318,unclassified RNA viruses,Vira,Unclassified,Unclassified,Unclassified,Watermelon crinkle leaf-associated virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_439_length_522_cov_2_402247,unclassified Betapartitivirus,Vira,Unclassified,Partitiviridae,Betacryptovirus,Rosellinia necatrix partitivirus 6,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_454_length_512_cov_2_071264,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Goose dicistrovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_50_length_1827_cov_3_254857,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 16,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_58_length_1715_cov_25_394994,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_6_length_4348_cov_34_779911,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Diaphorina citri densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_70_length_1530_cov_64_774948,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Sinapis alba cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-32-2013_NODE_75_length_1477_cov_63_401429,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_106_length_556_cov_2_893528,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_15_length_1469_cov_4_369971,Brassica campestris chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Brassica campestris chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_16_length_1407_cov_4_457143,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_2_length_3880_cov_10_858270,RNA viruses,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,DWV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_3_length_3236_cov_5_642292,unclassified Chrysovirus,Vira,Unclassified,Chrysoviridae,Chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_45_length_848_cov_4_267185,unclassified Chrysovirus,Vira,Unclassified,Chrysoviridae,Chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-33-2013_NODE_46_length_845_cov_6_229167,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
